timestamp,elapsed_s,x_g,y_g,z_g,dx,dy,dz,dt_s
2026-04-04T16:48:04.451,18.870,0.108,0.205,-0.964,0.000,0.000,0.000,0.000
2026-04-04T16:48:05.451,19.870,0.107,0.207,-0.962,-0.001,0.002,0.002,1.000
2026-04-04T16:48:06.450,20.870,0.111,0.209,-0.970,0.004,0.002,-0.008,1.000
2026-04-04T16:48:07.451,21.870,0.109,0.210,-0.958,-0.002,0.001,0.012,1.000
2026-04-04T16:48:08.450,22.870,0.110,0.208,-0.968,0.001,-0.002,-0.010,1.000
2026-04-04T16:48:09.450,23.869,0.109,0.210,-0.968,-0.001,0.002,0.000,0.999
2026-04-04T16:48:10.450,24.869,0.104,0.206,-0.963,-0.005,-0.004,0.005,1.000
2026-04-04T16:48:11.453,25.872,0.106,0.202,-0.961,0.002,-0.004,0.002,1.003
2026-04-04T16:48:12.456,26.875,0.110,0.209,-0.976,0.004,0.007,-0.015,1.003
2026-04-04T16:48:13.459,27.879,0.107,0.212,-0.964,-0.003,0.003,0.012,1.004
2026-04-04T16:48:14.463,28.882,0.105,0.204,-0.970,-0.002,-0.008,-0.006,1.003
2026-04-04T16:48:15.466,29.886,0.110,0.212,-0.961,0.005,0.008,0.009,1.004
2026-04-04T16:48:16.501,30.920,0.107,0.209,-0.969,-0.003,-0.003,-0.008,1.034
2026-04-04T16:48:17.501,31.920,0.111,0.210,-0.967,0.004,0.001,0.002,1.000
2026-04-04T16:48:18.500,32.919,0.108,0.206,-0.971,-0.003,-0.004,-0.004,0.999
2026-04-04T16:48:19.501,33.920,0.109,0.208,-0.969,0.001,0.002,0.002,1.001
2026-04-04T16:48:20.501,34.920,0.107,0.208,-0.963,-0.002,0.000,0.006,1.000
2026-04-04T16:48:21.500,35.919,0.107,0.201,-0.964,0.000,-0.007,-0.001,0.999
2026-04-04T16:48:22.500,36.919,0.110,0.209,-0.966,0.003,0.008,-0.002,1.000
2026-04-04T16:48:23.500,37.919,0.110,0.207,-0.967,0.000,-0.002,-0.001,1.000
2026-04-04T16:48:24.502,38.921,0.110,0.205,-0.968,0.000,-0.002,-0.001,1.002
2026-04-04T16:48:25.505,39.924,0.109,0.213,-0.966,-0.001,0.008,0.002,1.003
2026-04-04T16:48:26.508,40.928,0.109,0.210,-0.972,0.000,-0.003,-0.006,1.004
2026-04-04T16:48:27.512,41.931,0.105,0.207,-0.968,-0.004,-0.003,0.004,1.003
2026-04-04T16:48:28.515,42.935,0.108,0.210,-0.971,0.003,0.003,-0.003,1.004
2026-04-04T16:48:29.550,43.969,0.106,0.204,-0.969,-0.002,-0.006,0.002,1.034
2026-04-04T16:48:30.551,44.970,0.107,0.207,-0.968,0.001,0.003,0.001,1.001
2026-04-04T16:48:31.551,45.970,0.442,0.238,-0.884,0.335,0.031,0.084,1.000
2026-04-04T16:48:32.551,46.970,0.572,0.696,-0.437,0.130,0.458,0.447,1.000
2026-04-04T16:48:33.551,47.970,0.355,0.651,-0.168,-0.217,-0.045,0.269,1.000
2026-04-04T16:48:34.550,48.969,0.433,0.799,0.136,0.078,0.148,0.304,0.999
2026-04-04T16:48:35.551,49.970,0.453,0.785,0.621,0.020,-0.014,0.485,1.001
2026-04-04T16:49:01.257,75.676,0.035,0.713,0.742,-0.418,-0.072,0.121,25.706
2026-04-04T16:49:02.251,76.670,-0.014,0.685,0.746,-0.049,-0.028,0.004,0.994
2026-04-04T16:49:03.251,77.671,-0.026,0.697,0.732,-0.012,0.012,-0.014,1.001
2026-04-04T16:49:04.255,78.674,-0.021,0.701,0.744,0.005,0.004,0.012,1.003
2026-04-04T16:49:05.258,79.678,-0.167,0.587,0.990,-0.146,-0.114,0.246,1.004
2026-04-04T16:49:06.262,80.681,-0.270,0.549,0.697,-0.103,-0.038,-0.293,1.003
2026-04-04T16:49:07.265,81.685,-0.043,0.912,0.469,0.227,0.363,-0.228,1.004
2026-04-04T16:49:08.269,82.688,-0.015,0.858,0.553,0.028,-0.054,0.084,1.003
2026-04-04T16:49:09.301,83.720,-0.047,0.910,0.472,-0.032,0.052,-0.081,1.032
2026-04-04T16:49:10.301,84.720,0.014,0.823,0.536,0.061,-0.087,0.064,1.000
2026-04-04T16:49:11.301,85.720,-0.063,0.931,0.403,-0.077,0.108,-0.133,1.000
2026-04-04T16:49:12.301,86.720,0.044,0.803,0.583,0.107,-0.128,0.180,1.000
2026-04-04T16:49:13.301,87.720,0.008,0.733,0.704,-0.036,-0.070,0.121,1.000
2026-04-04T16:49:14.301,88.720,0.066,0.843,0.573,0.058,0.110,-0.131,1.000
2026-04-04T16:49:15.301,89.720,0.057,0.847,0.568,-0.009,0.004,-0.005,1.000
2026-04-04T16:49:16.301,90.720,0.031,0.869,0.563,-0.026,0.022,-0.005,1.000
