timestamp,elapsed_s,x_g,y_g,z_g
2026-04-04T20:00:09.980,0.252,0.193,0.061,-0.963
2026-04-04T20:00:10.231,0.503,0.187,0.059,-0.960
2026-04-04T20:00:10.531,0.803,0.188,0.054,-0.967
2026-04-04T20:00:10.831,1.103,0.198,0.065,-0.977
2026-04-04T20:00:11.131,1.403,0.196,0.056,-0.975
2026-04-04T20:00:11.431,1.703,0.194,0.061,-0.968
2026-04-04T20:00:11.731,2.003,0.198,0.063,-0.971
2026-04-04T20:00:12.030,2.302,0.192,0.054,-0.967
2026-04-04T20:00:12.331,2.603,0.191,0.061,-0.966
2026-04-04T20:00:12.634,2.906,0.197,0.062,-0.970
2026-04-04T20:00:12.937,3.209,0.229,0.080,-1.032
2026-04-04T20:00:13.240,3.512,0.499,0.100,-0.855
2026-04-04T20:00:13.543,3.815,-0.308,0.301,-1.535
2026-04-04T20:00:13.846,4.118,-0.274,0.951,0.622
2026-04-04T20:00:14.150,4.421,-0.603,0.535,1.093
2026-04-04T20:00:14.481,4.753,-0.887,0.697,0.192
2026-04-04T20:00:14.781,5.053,-0.430,0.827,0.370
2026-04-04T20:00:15.080,5.352,-0.549,0.841,0.356
2026-04-04T20:00:15.380,5.652,-0.317,0.882,0.330
2026-04-04T20:00:15.680,5.952,-0.243,0.861,0.361
2026-04-04T20:00:15.980,6.252,-0.637,0.943,0.121
2026-04-04T20:00:16.281,6.553,-0.281,0.782,0.305
2026-04-04T20:00:16.581,6.853,-0.470,0.907,0.172
2026-04-04T20:00:16.882,7.154,-0.446,0.902,0.139
2026-04-04T20:00:17.189,7.461,-0.559,0.924,0.095
2026-04-04T20:00:17.492,7.764,-0.795,0.923,0.050
2026-04-04T20:00:17.795,8.067,-0.496,0.935,0.208
2026-04-04T20:00:18.098,8.370,-0.322,0.956,0.217
2026-04-04T20:00:18.430,8.702,-0.394,0.951,0.143
2026-04-04T20:00:18.730,9.002,-0.396,0.938,0.156
2026-04-04T20:00:19.030,9.302,-0.421,0.935,0.163
2026-04-04T20:00:19.330,9.602,-0.362,0.944,0.122
2026-04-04T20:00:19.630,9.902,-0.289,0.847,0.187
2026-04-04T20:00:19.930,10.202,-0.408,0.918,-0.057
2026-04-04T20:00:20.230,10.502,-0.477,0.930,-0.046
2026-04-04T20:00:20.530,10.802,-0.675,0.865,0.028
2026-04-04T20:00:20.830,11.102,-0.543,0.848,-0.251
2026-04-04T20:00:21.133,11.405,-0.561,0.828,-0.439
2026-04-04T20:00:21.436,11.708,-0.298,0.923,0.126
2026-04-04T20:00:21.739,12.011,-0.536,0.963,0.141
2026-04-04T20:00:22.046,12.318,-0.801,0.901,0.031
2026-04-04T20:00:22.349,12.621,-0.495,0.931,-0.155
2026-04-04T20:00:22.681,12.952,-0.504,0.922,-0.079
2026-04-04T20:00:22.981,13.252,-0.508,0.909,-0.068
2026-04-04T20:00:23.281,13.552,-0.483,0.917,-0.065
2026-04-04T20:00:23.581,13.852,-0.517,0.897,-0.066
2026-04-04T20:00:23.881,14.152,-0.483,0.914,-0.085
2026-04-04T20:00:24.181,14.452,-0.467,0.918,-0.081
2026-04-04T20:00:24.481,14.752,-0.470,0.921,-0.082
2026-04-04T20:00:24.781,15.052,-0.470,0.909,-0.085
2026-04-04T20:00:25.081,15.353,-0.478,0.922,-0.074
2026-04-04T20:00:25.385,15.656,-0.516,0.896,-0.060
2026-04-04T20:00:25.688,15.960,-0.623,0.893,-0.090
2026-04-04T20:00:25.991,16.263,-0.448,0.885,-0.130
2026-04-04T20:00:26.298,16.570,-0.148,0.912,-0.005
2026-04-04T20:00:26.631,16.902,-0.346,0.871,0.133
2026-04-04T20:00:26.931,17.203,-0.355,0.917,-0.181
2026-04-04T20:00:27.231,17.503,-0.785,1.152,-0.458
2026-04-04T20:00:27.531,17.803,-0.676,1.019,-0.761
2026-04-04T20:00:27.831,18.102,-0.388,1.068,0.137
2026-04-04T20:00:28.131,18.403,0.338,0.861,0.479
2026-04-04T20:00:28.431,18.703,0.401,0.746,0.515
2026-04-04T20:00:28.731,19.002,0.483,0.727,0.467
2026-04-04T20:00:29.031,19.303,1.999,1.918,-2.000
2026-04-04T20:00:29.333,19.605,0.397,0.099,-1.012
2026-04-04T20:00:29.636,19.908,0.334,0.088,-0.920
2026-04-04T20:00:29.939,20.211,0.336,0.088,-0.919
2026-04-04T20:00:30.242,20.514,0.342,0.090,-0.929
2026-04-04T20:00:30.545,20.817,0.344,0.090,-0.928
2026-04-04T20:00:30.848,21.120,0.342,0.087,-0.924
2026-04-04T20:00:31.181,21.453,0.344,0.091,-0.924
2026-04-04T20:00:31.481,21.753,0.345,0.084,-0.914
2026-04-04T20:00:31.781,22.053,0.345,0.086,-0.920
2026-04-04T20:00:32.081,22.353,0.342,0.086,-0.925
2026-04-04T20:00:32.381,22.653,0.342,0.088,-0.917
2026-04-04T20:00:32.681,22.953,0.342,0.090,-0.918
2026-04-04T20:00:32.981,23.253,0.343,0.087,-0.918
2026-04-04T20:00:33.281,23.553,0.343,0.079,-0.922
2026-04-04T20:00:33.581,23.853,0.343,0.088,-0.920
2026-04-04T20:00:33.884,24.155,0.345,0.089,-0.924
2026-04-04T20:00:34.191,24.462,0.346,0.084,-0.924
2026-04-04T20:00:34.494,24.766,0.345,0.087,-0.924
2026-04-04T20:00:34.797,25.069,0.343,0.089,-0.921
2026-04-04T20:00:35.100,25.372,0.349,0.088,-0.921
2026-04-04T20:00:35.431,25.703,0.344,0.085,-0.924
2026-04-04T20:00:35.731,26.003,0.346,0.086,-0.926
2026-04-04T20:00:36.031,26.303,0.345,0.088,-0.919
2026-04-04T20:00:36.331,26.603,0.348,0.084,-0.911
2026-04-04T20:00:36.631,26.903,0.341,0.085,-0.916
2026-04-04T20:00:36.931,27.203,0.341,0.081,-0.918
2026-04-04T20:00:37.231,27.503,0.345,0.087,-0.920
2026-04-04T20:00:37.531,27.803,0.355,0.081,-0.922
2026-04-04T20:00:37.832,28.104,0.346,0.083,-0.923
2026-04-04T20:00:38.135,28.407,0.345,0.085,-0.920
2026-04-04T20:00:38.438,28.710,0.351,0.076,-0.919
2026-04-04T20:00:38.741,29.013,0.342,0.079,-0.917
2026-04-04T20:00:39.048,29.320,0.353,0.086,-0.927
2026-04-04T20:00:39.381,29.653,0.347,0.083,-0.915
2026-04-04T20:00:39.681,29.953,0.349,0.078,-0.905
2026-04-04T20:00:39.981,30.253,0.350,0.082,-0.909
2026-04-04T20:00:40.281,30.553,0.355,0.085,-0.913
2026-04-04T20:00:40.581,30.853,0.349,0.083,-0.920
2026-04-04T20:00:40.881,31.153,0.352,0.084,-0.918
2026-04-04T20:00:41.181,31.453,0.350,0.085,-0.917
2026-04-04T20:00:41.481,31.753,0.355,0.080,-0.922
2026-04-04T20:00:41.781,32.053,0.345,0.082,-0.912
2026-04-04T20:00:42.083,32.355,0.352,0.086,-0.916
2026-04-04T20:00:42.386,32.658,0.349,0.085,-0.921
2026-04-04T20:00:42.690,32.961,0.354,0.082,-0.919
2026-04-04T20:00:42.993,33.264,0.349,0.082,-0.912
