timestamp,elapsed_s,x_g,y_g,z_g,dx,dy,dz,l2_norm
2026-04-08T16:25:41.975,0.354,-0.996,0.049,0.072,0.0000,0.0000,0.0000,0.000000
2026-04-08T16:25:41.975,0.354,-0.996,0.043,0.072,0.0000,-0.0060,0.0000,0.000036
2026-04-08T16:25:41.975,0.354,-1.004,0.049,0.069,-0.0080,0.0060,-0.0030,0.000109
2026-04-08T16:25:41.975,0.354,-1.005,0.041,0.064,-0.0010,-0.0080,-0.0050,0.000090
2026-04-08T16:25:41.975,0.354,-1.001,0.052,0.070,0.0040,0.0110,0.0060,0.000173
2026-04-08T16:25:41.975,0.355,-1.004,0.059,0.074,-0.0030,0.0070,0.0040,0.000074
2026-04-08T16:25:41.983,0.362,-1.002,0.054,0.067,0.0020,-0.0050,-0.0070,0.000078
2026-04-08T16:25:42.036,0.416,-1.001,0.046,0.068,0.0010,-0.0080,0.0010,0.000066
2026-04-08T16:25:42.090,0.470,-1.004,0.044,0.070,-0.0030,-0.0020,0.0020,0.000017
2026-04-08T16:25:42.143,0.522,-1.006,0.040,0.067,-0.0020,-0.0040,-0.0030,0.000029
2026-04-08T16:25:42.196,0.575,-0.996,0.046,0.063,0.0100,0.0060,-0.0040,0.000152
2026-04-08T16:25:42.249,0.629,-1.000,0.047,0.072,-0.0040,0.0010,0.0090,0.000098
2026-04-08T16:25:42.308,0.687,-1.004,0.044,0.067,-0.0040,-0.0030,-0.0050,0.000050
2026-04-08T16:25:42.360,0.739,-1.008,0.046,0.068,-0.0040,0.0020,0.0010,0.000021
2026-04-08T16:25:42.413,0.792,-1.005,0.048,0.065,0.0030,0.0020,-0.0030,0.000022
2026-04-08T16:25:42.466,0.846,-1.004,0.045,0.071,0.0010,-0.0030,0.0060,0.000046
2026-04-08T16:25:42.519,0.899,-0.998,0.044,0.065,0.0060,-0.0010,-0.0060,0.000073
2026-04-08T16:25:42.573,0.952,-1.000,0.045,0.074,-0.0020,0.0010,0.0090,0.000086
2026-04-08T16:25:42.626,1.005,-1.003,0.045,0.070,-0.0030,0.0000,-0.0040,0.000025
2026-04-08T16:25:42.679,1.059,-0.994,0.053,0.076,0.0090,0.0080,0.0060,0.000181
2026-04-08T16:25:42.732,1.112,-1.007,0.052,0.072,-0.0130,-0.0010,-0.0040,0.000186
2026-04-08T16:25:42.786,1.165,-1.007,0.047,0.068,0.0000,-0.0050,-0.0040,0.000041
2026-04-08T16:25:42.839,1.218,-1.006,0.059,0.074,0.0010,0.0120,0.0060,0.000181
2026-04-08T16:25:42.892,1.272,-1.000,0.053,0.076,0.0060,-0.0060,0.0020,0.000076
2026-04-08T16:25:42.945,1.325,-1.002,0.025,0.054,-0.0020,-0.0280,-0.0220,0.001272
2026-04-08T16:25:42.999,1.378,-0.999,0.021,0.071,0.0030,-0.0040,0.0170,0.000314
2026-04-08T16:25:43.052,1.431,-1.001,0.057,0.086,-0.0020,0.0360,0.0150,0.001525
2026-04-08T16:25:43.109,1.489,-1.006,0.063,0.059,-0.0050,0.0060,-0.0270,0.000790
2026-04-08T16:25:43.162,1.542,-0.999,0.047,0.070,0.0070,-0.0160,0.0110,0.000426
2026-04-08T16:25:43.216,1.595,-1.004,0.035,0.084,-0.0050,-0.0120,0.0140,0.000365
2026-04-08T16:25:43.269,1.648,-1.004,0.042,0.063,0.0000,0.0070,-0.0210,0.000490
2026-04-08T16:25:43.322,1.702,-1.004,0.055,0.063,0.0000,0.0130,0.0000,0.000169
2026-04-08T16:25:43.375,1.755,-0.997,0.061,0.069,0.0070,0.0060,0.0060,0.000121
2026-04-08T16:25:43.429,1.808,-1.005,0.037,0.076,-0.0080,-0.0240,0.0070,0.000689
2026-04-08T16:25:43.482,1.861,-1.023,0.034,0.078,-0.0180,-0.0030,0.0020,0.000337
2026-04-08T16:25:43.535,1.915,-0.996,0.063,0.091,0.0270,0.0290,0.0130,0.001739
2026-04-08T16:25:43.588,1.968,-1.011,0.051,0.071,-0.0150,-0.0120,-0.0200,0.000769
2026-04-08T16:25:43.642,2.021,-0.997,0.040,0.069,0.0140,-0.0110,-0.0020,0.000321
2026-04-08T16:25:43.695,2.074,-1.006,0.046,0.067,-0.0090,0.0060,-0.0020,0.000121
2026-04-08T16:25:43.748,2.128,-1.004,0.058,0.069,0.0020,0.0120,0.0020,0.000152
2026-04-08T16:25:43.801,2.181,-1.002,0.050,0.072,0.0020,-0.0080,0.0030,0.000077
2026-04-08T16:25:43.859,2.238,-1.005,0.047,0.066,-0.0030,-0.0030,-0.0060,0.000054
2026-04-08T16:25:43.912,2.292,-1.003,0.031,0.055,0.0020,-0.0160,-0.0110,0.000381
2026-04-08T16:25:43.965,2.345,-1.009,0.048,0.082,-0.0060,0.0170,0.0270,0.001054
2026-04-08T16:25:44.018,2.398,-1.003,0.050,0.070,0.0060,0.0020,-0.0120,0.000184
2026-04-08T16:25:44.072,2.451,-1.006,0.036,0.056,-0.0030,-0.0140,-0.0140,0.000401
2026-04-08T16:25:44.125,2.504,-0.996,0.044,0.079,0.0100,0.0080,0.0230,0.000693
2026-04-08T16:25:44.178,2.558,-1.007,0.037,0.062,-0.0110,-0.0070,-0.0170,0.000459
2026-04-08T16:25:44.231,2.611,-1.004,0.055,0.071,0.0030,0.0180,0.0090,0.000414
2026-04-08T16:25:44.285,2.664,-1.003,0.046,0.077,0.0010,-0.0090,0.0060,0.000118
2026-04-08T16:25:44.338,2.717,-1.004,0.044,0.071,-0.0010,-0.0020,-0.0060,0.000041
2026-04-08T16:25:44.391,2.771,-0.992,0.043,0.070,0.0120,-0.0010,-0.0010,0.000146
2026-04-08T16:25:44.444,2.824,-1.004,0.040,0.078,-0.0120,-0.0030,0.0080,0.000217
