elapsed_s,x_g,y_g,z_g,writing,word,newline
0.0014,-0.0320,0.4720,0.8540,0,,0
0.0218,-0.0230,0.4620,0.8880,0,,0
0.0425,-0.0100,0.4820,0.8920,0,,0
0.0668,-0.0180,0.4790,0.8880,0,,0
0.0873,-0.0050,0.4720,0.8740,0,,0
0.1078,-0.0270,0.4870,0.8770,0,,0
0.1242,0.0100,0.5000,0.9100,0,,0
0.1487,-0.0050,0.5000,0.9050,0,,0
0.1692,-0.2460,0.5310,0.7550,0,,0
0.1897,-0.1460,0.5120,0.9000,0,,0
0.2101,0.0940,0.5110,0.8360,0,,0
0.2266,0.1150,0.5620,0.8230,0,,0
0.2470,0.0800,0.5420,0.9670,0,,0
0.2675,0.0980,0.5270,0.9480,0,,0
0.2882,0.0930,0.5550,0.8640,0,,0
0.3084,0.1640,0.5760,0.8280,0,,0
0.3290,0.1310,0.5220,0.8060,0,,0
0.3454,0.0760,0.4990,0.9200,0,,0
0.3658,0.1340,0.4860,0.9660,0,,0
0.3864,0.1280,0.4960,0.8860,0,,0
0.4068,0.0830,0.4810,0.8270,0,,0
0.4272,0.0730,0.4390,0.8430,0,,0
0.4436,0.1140,0.4540,0.7940,0,,0
0.4642,0.0550,0.4080,0.8280,0,,0
0.4846,0.0960,0.4160,0.7830,0,,0
0.5051,0.0950,0.4470,0.8360,0,,0
0.5256,0.1190,0.3380,0.9920,0,,0
0.5461,0.1970,0.4230,0.7370,0,,0
0.5624,0.0790,0.4180,0.8050,0,,0
0.5829,0.0670,0.3670,0.8280,0,,0
0.6034,0.2400,0.4250,0.8500,0,,0
0.6238,0.3900,0.4610,0.6660,0,,0
0.6443,-0.3460,0.1990,1.3220,0,,0
0.6649,-0.1220,0.2660,1.0480,0,,0
0.6853,0.1250,0.3930,0.4110,0,,0
0.7058,0.1180,0.1200,0.6520,0,,0
0.7262,-0.1880,0.2620,0.8820,0,,0
0.7467,-0.0260,0.3950,1.9260,0,,0
0.7672,0.4360,0.4650,0.7970,0,,0
0.7876,-0.0180,0.3630,0.7500,0,,0
0.8082,-0.3210,0.2840,0.9740,0,,0
0.8286,0.6090,0.3380,0.7710,0,,0
0.8450,0.4780,0.0630,0.8800,0,,0
0.8655,0.7180,0.1900,0.6830,0,,0
0.8860,-0.4060,1.2640,0.7420,0,,0
0.9065,-1.2450,0.2670,1.2450,0,,0
0.9310,-0.5150,0.1350,0.9870,0,,0
0.9474,0.6330,0.3290,0.7970,0,,0
0.9679,0.4650,0.3540,0.9970,0,,0
0.9884,0.0750,0.2370,0.9670,0,,0
1.0089,0.0540,0.2920,0.9390,0,,0
1.0294,0.4960,0.7030,0.5290,0,,0
1.0498,0.2010,0.2970,1.2210,0,,0
1.0662,0.2500,0.5330,0.8960,0,,0
1.0866,0.3280,0.5320,0.8110,0,,0
1.1071,0.2090,0.6710,0.6020,0,,0
1.1276,-0.3720,0.7200,0.6440,0,,0
1.1482,-0.0640,0.5520,0.9390,0,,0
1.1685,-0.2030,0.5800,0.9270,0,,0
1.1891,-0.0230,0.7810,0.7280,0,,0
1.2095,0.3090,0.2340,0.9020,0,,0
1.2300,0.0280,0.5450,0.6900,0,,0
1.2505,-0.2280,0.0960,1.4690,0,,0
1.2710,0.6660,0.4850,0.5740,0,,0
1.2915,-0.1950,0.2440,1.2500,0,,0
1.3119,0.5090,0.4450,1.0830,0,,0
1.3324,0.4040,0.4990,0.6950,0,,0
1.3489,0.4460,0.2310,0.7490,0,,0
1.3693,0.2030,0.5350,0.7990,0,,0
1.3898,-0.2290,0.6880,1.3150,0,,0
1.4102,-1.2730,0.9380,0.5250,0,,0
1.4308,0.3310,0.2700,0.6460,0,,0
1.4513,0.6600,0.6940,0.6220,0,,0
1.4717,0.0990,0.7020,0.8150,0,,0
1.4922,0.0660,0.6930,0.5710,0,,0
1.5126,0.5320,0.6860,0.5000,0,,0
1.5290,0.3450,0.6440,0.6700,0,,0
1.5495,0.3250,0.6580,0.7100,1,,0
1.5699,0.3740,0.6880,0.6560,1,,0
1.5905,0.5920,0.5230,0.7700,1,,0
1.6109,0.7060,0.6930,0.3440,1,,0
1.6273,0.5870,0.7950,0.4610,1,,0
1.6478,0.6580,0.8730,0.2840,1,,0
1.6683,0.8220,0.8230,0.0970,1,,0
1.6888,0.6250,0.8930,0.2420,1,,0
1.7092,0.1060,0.8340,0.4550,1,,0
1.7297,0.1120,0.8300,0.6060,1,,0
1.7461,0.1350,0.7720,0.3890,1,,0
1.7666,0.0930,1.0900,0.3040,1,,0
1.7870,0.3060,0.8690,0.3070,1,,0
1.8076,0.4170,0.7890,0.4640,1,,0
1.8280,0.4320,0.8770,0.2400,1,,0
1.8485,0.4350,0.8570,0.2710,1,,0
1.8649,0.4110,0.8320,0.3220,1,,0
1.8853,0.3960,0.9220,0.3000,1,,0
1.9058,0.4230,0.8820,0.2520,1,,0
1.9263,0.3920,0.8920,0.2900,1,,0
1.9468,0.3860,0.8970,0.3300,1,,0
1.9672,0.3700,0.9310,0.2420,1,,0
1.9837,0.3310,0.9110,0.2970,1,,0
2.0041,0.3470,0.9200,0.3130,1,,0
2.0246,0.3490,0.9310,0.2770,1,,0
2.0450,0.3590,0.9070,0.2430,1,,0
2.0656,0.3630,0.9030,0.2690,1,,0
2.0819,0.4090,0.8920,0.3550,1,,0
2.1025,0.4040,0.8770,0.3090,1,,0
2.1229,0.3520,0.9090,0.2840,1,,0
2.1433,0.3640,0.9120,0.3060,1,,0
2.1638,0.3780,0.8840,0.2890,1,,0
2.1843,0.3550,0.9190,0.2860,1,,0
2.2007,0.3420,0.9070,0.2740,1,,0
2.2212,0.3300,0.9020,0.3020,1,,0
2.2417,0.3030,0.9290,0.2790,1,,0
2.2621,0.3450,0.9130,0.2820,1,,0
2.2835,0.3500,0.9070,0.3130,1,,0
2.3031,0.3410,0.9270,0.2900,1,,0
2.3195,0.2950,0.9300,0.2930,1,,0
2.3400,0.3210,0.9310,0.2750,1,,0
2.3605,0.3370,0.9210,0.2860,1,,0
2.3810,0.3350,0.9020,0.3050,1,,0
2.4014,0.3470,0.9300,0.2530,1,,0
2.4178,0.3440,0.8960,0.2780,1,,0
2.4382,0.3520,0.9100,0.2980,1,,0
2.4589,0.3660,0.8870,0.2870,1,,0
2.4793,0.3570,0.8950,0.3170,1,,0
2.4997,0.3290,0.9200,0.3070,1,,0
2.5203,0.2680,0.9420,0.3270,1,,0
2.5366,0.2710,0.9430,0.2990,1,,0
2.5571,0.2920,0.9350,0.2970,1,,0
2.5775,0.1610,1.0560,0.3530,1,,0
2.5980,-0.0010,1.2250,0.3930,1,,0
2.6185,0.0440,1.0620,0.3540,1,,0
2.6390,0.2920,0.7930,0.2470,1,,0
2.6594,0.3530,0.7480,0.3120,1,,0
2.6759,0.3670,0.7900,0.2240,1,,0
2.6964,0.6770,0.5740,0.2690,1,,0
2.7168,1.0140,0.3640,0.2430,1,,0
2.7372,1.0930,0.2720,0.2400,1,,0
2.7577,0.8700,0.5100,0.2280,1,,0
2.7782,0.8980,0.4790,0.2680,1,,0
2.7946,0.8540,0.6130,0.2320,1,,0
2.8151,0.7050,0.6640,0.1940,1,,0
2.8356,0.6890,0.6170,0.2520,1,,0
2.8560,0.6780,0.7210,0.2350,1,,0
2.8765,0.7690,0.5620,0.1920,1,,0
2.8970,0.9930,0.3580,0.2180,0,,0
2.9133,1.0970,0.2830,0.2300,0,,0
2.9339,1.0780,0.2880,0.1730,0,,0
2.9543,1.1000,0.2030,0.2090,0,,0
2.9748,0.9770,0.3810,0.2310,0,,0
2.9953,0.5240,0.5810,0.2590,0,,0
3.0158,0.1870,0.9840,0.2440,0,,0
3.0322,0.0150,1.2240,0.3350,0,,0
3.0526,-0.1090,1.2570,0.3020,0,,0
3.0772,-0.1100,1.2390,0.2810,0,,0
3.0936,0.1920,0.9400,0.2810,0,,0
3.1140,0.5770,0.6860,0.2490,0,,0
3.1345,0.7000,0.7160,0.2850,0,,0
3.1550,0.7440,0.6580,0.2420,0,,0
3.1755,0.7420,0.6750,0.2760,0,,0
3.1919,0.5550,0.7940,0.3330,0,,0
3.2124,0.3450,0.9250,0.3070,0,,0
3.2329,0.2130,1.0640,0.2740,0,,0
