elapsed_s,x_g,y_g,z_g,writing,word,newline
0.0047,0.2170,0.6500,0.7430,0,,0
0.0252,0.1830,0.6170,0.7440,0,,0
0.0417,0.2090,0.6420,0.7640,0,,0
0.0622,0.1980,0.6400,0.7920,0,,0
0.0826,0.2190,0.6580,0.7800,0,,0
0.1031,0.2110,0.6450,0.7160,0,,0
0.1235,0.2030,0.6410,0.7290,0,,0
0.1440,0.1990,0.6390,0.7620,0,,0
0.1604,0.2160,0.6350,0.7580,0,,0
0.1810,0.2320,0.6770,0.7430,0,,0
0.2014,0.2300,0.6700,0.7810,0,,0
0.2219,0.2270,0.6460,0.8140,0,,0
0.2423,0.2440,0.6370,0.7430,0,,0
0.2587,0.2420,0.6340,0.6910,0,,0
0.2792,0.2270,0.6150,0.6960,0,,0
0.2997,0.2290,0.6050,0.7480,0,,0
0.3201,0.2170,0.5720,0.7880,0,,0
0.3406,0.2170,0.5570,0.7990,0,,0
0.3612,0.2200,0.5820,0.8200,0,,0
0.3775,0.2330,0.6050,0.8730,0,,0
0.3980,0.2260,0.5800,0.8030,0,,0
0.4185,0.2390,0.5940,0.7050,0,,0
0.4390,0.2150,0.5960,0.7290,0,,0
0.4594,0.2050,0.5860,0.7480,0,,0
0.4799,0.2110,0.5730,0.8190,0,,0
0.4963,0.2370,0.6080,0.8020,0,,0
0.5168,0.2250,0.6280,0.7710,0,,0
0.5373,0.2160,0.6170,0.8260,0,,0
0.5578,0.2180,0.5910,0.7850,0,,0
0.5782,0.2320,0.5710,0.7370,0,,0
0.5946,0.2920,0.5850,0.7120,0,,0
0.6151,0.1110,0.5470,0.7560,0,,0
0.6356,0.2470,0.5290,0.8000,0,,0
0.6560,0.1590,0.5020,0.8370,0,,0
0.6765,0.1940,0.5140,0.8090,0,,0
0.6970,0.1730,0.5220,0.8000,0,,0
0.7134,0.2110,0.5110,0.8170,0,,0
0.7339,0.2180,0.5280,0.8120,0,,0
0.7544,0.2380,0.5570,0.7970,0,,0
0.7748,0.2370,0.5910,0.7670,0,,0
0.7953,0.2620,0.6120,0.7450,0,,0
0.8157,0.2360,0.5920,0.7860,0,,0
0.8362,0.3650,-0.1400,0.9960,0,,0
0.8526,0.2690,0.2980,0.7050,0,,0
0.8731,0.1810,0.5230,0.6360,0,,0
0.8936,0.2140,0.4700,0.9660,0,,0
0.9140,0.1680,0.5170,1.0350,0,,0
0.9347,0.3450,0.5770,0.8780,0,,0
0.9550,0.6010,0.5580,1.1370,0,,0
0.9755,-0.0260,0.6060,0.6120,0,,0
0.9960,0.2730,0.5750,0.7080,0,,0
1.0124,0.1810,0.6340,0.7650,0,,0
1.0328,0.2420,0.5800,0.6690,0,,0
1.0533,0.1180,0.6660,0.7360,0,,0
1.0743,0.1600,0.4830,0.9240,0,,0
1.0943,0.1730,0.7520,0.7460,0,,0
1.1107,0.0770,0.5800,0.8460,0,,0
1.1314,0.2680,0.5810,0.8740,0,,0
1.1516,0.1180,0.6200,0.7170,0,,0
1.1720,0.0100,0.7410,0.7860,0,,0
1.1925,0.1550,1.0080,-1.8570,0,,0
1.2130,0.1860,0.1010,0.6610,0,,0
1.2336,-0.0970,0.7200,0.8770,0,,0
1.2540,0.0220,0.4790,0.7280,1,,0
1.2745,0.0350,0.6180,0.7860,1,,0
1.2909,0.0840,0.7420,0.7500,1,,0
1.3113,0.0600,0.6800,0.8330,1,,0
1.3318,-0.4240,1.1260,0.7870,1,,0
1.3523,0.1680,0.8540,0.7670,1,,0
1.3728,0.1810,1.9990,1.0410,1,,0
1.3933,0.2970,0.3060,0.7080,1,,0
1.4137,0.5190,0.3310,0.5980,1,,0
1.4342,-0.0490,0.4940,1.0640,1,,0
1.4547,0.1840,0.5840,1.0350,1,,0
1.4711,0.0980,0.5490,0.9250,1,,0
1.4916,0.1000,0.4980,0.7390,1,,0
1.5120,0.0800,0.5400,0.6950,1,,0
1.5325,0.1730,0.6030,0.6970,1,,0
1.5530,0.8030,0.7040,0.7160,1,,0
1.5694,0.0820,0.6920,0.7890,1,,0
1.5899,0.2340,0.6330,0.7840,1,,0
1.6103,0.2740,0.5370,0.8330,1,,0
1.6308,0.1730,0.5730,0.9360,1,,0
1.6513,0.2110,0.5630,0.9340,1,,0
1.6718,0.2020,0.4370,0.8580,1,,0
1.6882,0.1640,0.4040,0.7300,1,,0
1.7086,0.4550,0.4350,0.8870,1,,0
1.7291,0.0190,0.3680,1.1240,1,,0
1.7497,0.1230,0.2450,0.9220,0,,0
1.7701,0.0630,0.1810,0.8130,0,,0
1.7905,0.0740,0.1850,0.9940,0,,0
1.8070,0.1060,0.3030,1.0310,0,,0
1.8274,0.0910,0.2700,1.1720,0,,0
1.8479,0.1780,0.1820,1.3140,0,,0
1.8684,0.0520,0.2300,1.2710,0,,0
1.8888,0.1820,0.2550,0.8500,0,,0
1.9094,0.0910,0.1270,0.6420,0,,0
1.9298,0.1560,0.1760,-0.0400,0,,0
1.9462,0.0500,0.5200,0.9320,0,,0
1.9667,0.3470,0.2770,1.3610,0,,0
1.9872,0.0450,0.2870,1.0950,0,,0
2.0076,0.6920,0.2540,0.4270,0,,0
2.0281,-0.0610,0.3140,0.5070,0,,0
2.0486,-0.1870,0.3920,1.1000,0,,0
2.0691,0.4450,0.1820,1.2250,0,,0
2.0896,0.2910,0.2820,1.1820,0,,0
2.1100,0.3300,0.3900,0.8550,0,,0
2.1264,0.2050,0.1030,0.5570,0,,0
2.1469,-0.3670,0.3740,0.1670,0,,0
2.1715,-0.5630,0.9050,0.7250,0,,0
2.1919,-0.4940,-0.1000,1.4080,0,,0
2.2124,-0.6760,0.3680,0.7560,0,,0
2.2329,-0.4490,0.2700,0.6470,0,,0
2.2534,-0.3800,0.2840,0.7890,0,,0
2.2739,-0.4030,0.3150,0.9150,0,,0
2.2944,-0.3910,0.1140,1.1830,0,,0
2.3148,-0.2220,0.2750,0.5080,0,,0
2.3353,0.0340,0.7890,0.0260,0,,0
2.3557,1.1990,0.4840,0.8960,0,,0
2.3763,0.5030,0.7340,0.3960,0,,0
2.3968,0.6020,0.8250,0.3950,0,,0
2.4131,0.8350,0.4990,0.7200,0,,0
2.4337,0.5300,0.1500,0.6730,0,,0
2.4541,0.6150,0.4250,0.7540,0,,0
2.4746,0.7570,0.0830,0.9350,0,,0
2.4954,0.8030,-0.4410,1.4700,0,,0
2.5156,0.3180,0.2660,0.8070,0,,0
2.5360,0.7320,0.3750,0.5030,0,,0
2.5524,0.6830,0.4950,0.7780,0,,0
2.5728,0.2930,0.9430,0.5530,0,,0
2.5933,0.3340,0.1550,1.1570,0,,0
2.6138,0.6240,0.5120,0.4200,0,,0
2.6343,1.1150,0.8400,0.1060,0,,0
2.6548,0.9530,0.5720,0.3740,0,,0
