elapsed_s,x_g,y_g,z_g,writing,word,newline
0.0127,-1.0330,0.0270,0.3170,0,,0
0.0332,-0.9030,-0.0540,0.3270,0,,0
0.0537,-0.8590,0.0790,0.4600,0,,0
0.0782,-0.9400,-0.0100,0.3690,0,,0
0.0987,-0.8390,-0.1070,0.3280,0,,0
0.1193,-0.9950,-0.0890,0.2910,0,,0
0.1437,-0.8840,-0.1570,0.4280,0,,0
0.1643,-0.8570,-0.1210,0.5060,0,,0
0.1847,-0.9360,-0.0240,0.5190,0,,0
0.2093,-0.7940,0.0260,0.4690,0,,0
0.2298,-0.7990,-0.5840,0.4700,0,,0
0.2502,-0.8710,-0.1220,0.3030,0,,0
0.2748,-1.0450,-0.0790,0.3480,0,,0
0.2953,-0.6910,-0.0600,0.4240,0,,0
0.3158,-0.9940,0.0290,0.3160,0,,0
0.3363,-0.9250,-0.0630,0.3660,0,,0
0.3608,-1.2200,-0.1840,0.3890,0,,0
0.3813,-1.2830,-0.0130,0.4780,0,,0
0.4018,-1.0800,0.0370,0.4930,0,,0
0.4223,-0.7690,0.1410,0.4770,0,,0
0.4427,-0.7370,0.0710,0.5180,0,,0
0.4632,-0.8810,0.0490,0.5000,0,,0
0.4837,-0.9590,0.0260,0.4900,0,,0
0.5042,-0.8840,0.1050,0.5300,0,,0
0.5288,-1.0370,0.0520,0.6740,0,,0
0.5492,-0.9000,0.0300,0.5850,0,,0
0.5697,-0.5860,0.1120,0.6120,0,,0
0.5903,-0.7070,0.0530,0.6470,0,,0
0.6107,-0.5240,0.1940,0.6440,0,,0
0.6331,-0.7710,0.1020,0.7530,0,,0
0.6516,-0.6330,0.1700,0.6500,0,,0
0.6722,-0.3820,0.1460,0.7020,0,,0
0.6926,-0.6140,0.2000,0.6940,0,,0
0.7131,-0.5040,0.2150,0.8330,0,,0
0.7336,-0.6310,0.1630,0.7710,0,,0
0.7540,-0.5290,0.2230,0.6860,0,,0
0.7745,-0.5380,0.1810,0.7400,0,,0
0.7991,-0.5750,0.0510,0.9320,0,,0
0.8196,-0.7090,0.2120,0.9450,0,,0
0.8401,-0.6280,0.1610,0.9090,0,,0
0.8605,-0.4270,0.3530,0.7360,0,,0
0.8810,-0.3360,0.4180,0.6220,0,,0
0.9016,-0.3580,0.3930,0.6660,0,,0
0.9220,-0.3820,0.4760,0.7010,0,,0
0.9425,-0.2660,0.4750,0.5670,0,,0
0.9629,-0.3330,0.4520,0.7610,0,,0
0.9834,-0.3780,0.4380,0.7430,0,,0
1.0039,-0.5320,0.2840,0.8520,0,,0
1.0243,-0.4790,0.4010,0.8840,0,,0
1.0489,-0.5420,0.4260,0.7870,0,,0
1.0694,-0.2840,0.3650,0.8750,0,,0
1.0899,-0.5210,0.2870,0.7860,0,,0
1.1103,-0.3460,0.2560,0.8800,0,,0
1.1309,-0.3840,0.2820,0.9000,0,,0
1.1513,-0.3280,0.2700,0.7450,0,,0
1.1718,-0.3980,0.2720,0.8030,0,,0
1.1923,-0.3980,0.3970,0.9650,0,,0
1.2127,-0.4990,0.5080,0.5480,0,,0
1.2332,-0.0690,0.6200,0.8820,0,,0
1.2537,-0.4090,0.3470,1.1310,0,,0
1.2742,-0.4160,0.3990,0.9220,0,,0
