elapsed_s,x_g,y_g,z_g,writing,word,newline
0.0167,-0.9270,-0.0630,0.4330,0,,0
0.0371,-1.0000,-0.0830,0.4240,0,,0
0.0576,-0.9830,-0.0330,0.4400,0,,0
0.0822,-0.9790,-0.0150,0.5060,0,,0
0.1026,-0.8300,0.0460,0.5280,0,,0
0.1232,-0.8000,0.0060,0.4910,0,,0
0.1436,-0.7250,0.0980,0.5350,0,,0
0.1641,-0.7960,0.0610,0.5740,0,,0
0.1846,-0.8100,0.0120,0.6510,0,,0
0.2051,-0.7690,0.0380,0.6540,0,,0
0.2256,-0.7290,0.0400,0.6880,0,,0
0.2460,-0.8410,0.0490,0.6510,0,,0
0.2706,-0.7760,0.1370,0.6280,0,,0
0.2911,-0.7800,0.1410,0.5970,0,,0
0.3115,-0.7500,0.1250,0.5830,0,,0
0.3321,-0.7070,0.1160,0.5800,0,,0
0.3525,-0.7100,0.1030,0.6230,0,,0
0.3731,-0.7490,0.0950,0.6630,0,,0
0.3935,-0.7620,0.1070,0.6900,0,,0
0.4140,-0.7250,0.1060,0.6960,0,,0
0.4344,-0.7980,0.1040,0.6920,0,,0
0.4550,-0.8140,0.1120,0.6500,0,,0
0.4754,-0.8160,0.1300,0.6150,0,,0
0.4959,-0.8520,0.1380,0.5610,0,,0
0.5164,-0.7980,0.1180,0.5760,0,,0
0.5410,-0.7580,0.1400,0.5350,0,,0
0.5614,-0.7370,0.2380,0.7750,0,,0
0.5819,-0.7140,0.0960,0.7620,0,,0
0.6024,-0.7340,0.1040,0.8390,0,,0
0.6229,-0.8710,0.1430,0.8060,0,,0
0.6434,-0.7110,0.0760,0.7370,0,,0
0.6638,-0.6920,0.1420,0.7050,0,,0
0.6843,-0.7230,0.0740,0.7350,0,,0
0.7048,-0.6540,-0.3750,1.1940,0,,0
0.7293,-0.9310,0.0070,0.7570,0,,0
0.7499,-0.6820,0.1150,0.9710,0,,0
0.7703,-0.6080,0.0620,0.7950,0,,0
0.7908,-0.5940,-0.0790,0.9350,0,,0
0.8113,-0.6130,-0.0060,0.9050,0,,0
0.8318,-0.5760,0.0580,0.8950,0,,0
0.8563,-0.5440,0.0390,0.8770,0,,0
0.8768,-0.5180,0.0470,0.8990,0,,0
0.8973,-0.4410,0.0510,0.7850,0,,0
0.9178,-0.3460,0.0890,0.7160,0,,0
0.9383,-0.3280,0.1840,0.7090,0,,0
0.9587,-0.3000,0.1470,0.7640,0,,0
0.9792,-0.3630,0.1400,0.7770,0,,0
0.9997,-0.4000,0.1330,0.7890,0,,0
1.0202,-0.3400,0.2220,0.9100,0,,0
1.0406,-0.3170,0.2710,0.9550,0,,0
1.0611,-0.3340,0.2060,1.0040,0,,0
1.0816,-0.3290,0.1640,0.9790,0,,0
1.1021,-0.3100,0.1820,0.8960,0,,0
1.1267,-0.3380,0.2250,0.9000,0,,0
1.1471,-0.2910,0.2190,0.7290,0,,0
1.1676,-0.3130,0.2700,0.7890,0,,0
1.1881,-0.2990,0.2680,0.8280,0,,0
1.2086,-0.2880,0.2850,0.8780,0,,0
1.2290,-0.2640,0.2660,0.9250,0,,0
1.2495,-0.2570,0.2270,0.9750,0,,0
1.2700,-0.2740,0.2230,1.0390,0,,0
1.2905,-0.2860,0.2280,0.9750,0,,0
1.3109,-0.3140,0.2230,0.9210,0,,0
1.3314,-0.3310,0.1840,0.6770,0,,0
1.3520,-0.3470,0.0480,0.8670,0,,0
1.3765,-0.3680,0.1550,0.8380,0,,0
1.3970,-0.2770,0.2210,1.1450,0,,0
1.4174,-0.1680,0.5450,0.9420,0,,0
1.4381,-0.3630,0.0760,0.8460,0,,0
1.4583,-0.3810,0.1270,0.9230,0,,0
1.4788,-0.5740,0.2360,1.0040,0,,0
1.4994,-0.2850,0.3070,0.7930,0,,0
1.5198,-0.2750,0.3980,0.9090,0,,0
1.5403,-0.3180,0.4210,0.8530,0,,0
1.5609,-0.3190,0.4710,0.8110,0,,0
1.5813,-0.3530,0.4130,0.7550,0,,0
1.6017,-0.3360,0.4550,0.8510,0,,0
1.6222,-0.3530,0.4450,0.8940,0,,0
1.6468,-0.3220,0.4350,0.8790,0,,0
1.6673,-0.3260,0.2350,0.9610,0,,0
1.6877,-0.3420,0.2500,0.9650,0,,0
