elapsed_s,x_g,y_g,z_g,writing,word,newline
0.0105,0.2770,0.8230,0.5280,1,,0
0.0270,0.2910,0.8070,0.5330,1,,0
0.0474,0.3600,0.8140,0.5400,1,,0
0.0679,0.2980,0.7900,0.5470,1,,0
0.0883,0.2770,0.7720,0.5890,1,,0
0.1088,0.2490,0.8040,0.5860,1,,0
0.1252,0.2880,0.8150,0.5130,1,,0
0.1457,0.2880,0.8190,0.5570,1,,0
0.1662,0.2760,0.7790,0.5840,1,,0
0.1866,0.2780,0.7730,0.5910,1,,0
0.2071,0.1430,0.5500,0.6700,1,,0
0.2276,0.1850,0.7650,0.6330,1,,0
0.2440,0.1500,0.8960,0.5740,1,,0
0.2645,0.2930,0.8720,0.4980,1,,0
0.2849,0.3070,0.7860,0.5480,1,,0
0.3054,0.3480,0.8140,0.5270,1,,0
0.3259,0.3910,0.7680,0.5620,1,,0
0.3463,0.2230,0.7080,0.6380,1,,0
0.3628,0.1580,0.7550,0.6060,1,,0
0.3833,0.2480,0.7750,0.5730,1,,0
0.4037,0.2430,0.8020,0.5660,1,,0
0.4242,0.2460,0.8110,0.5480,1,,0
0.4447,0.2290,0.7850,0.5680,1,,0
0.4611,0.3060,0.7990,0.5860,1,,0
0.4816,0.1990,0.7810,0.6510,1,,0
0.5020,0.1850,0.7530,0.6290,1,,0
0.5227,0.2320,0.6960,0.6220,1,,0
0.5430,0.2620,0.7740,0.6450,1,,0
0.5635,0.2880,0.7240,0.6190,1,,0
0.5798,0.2250,0.7470,0.6700,1,,0
0.6003,0.2660,0.7630,0.6080,1,,0
0.6209,0.1760,0.7640,0.6410,1,,0
0.6413,0.2710,0.7710,0.6080,1,,0
0.6618,0.2160,0.8370,0.6060,1,,0
0.6823,0.1900,0.7730,0.6760,1,,0
0.6987,0.2390,0.7050,0.6020,1,,0
0.7191,0.3020,0.7270,0.6340,1,,0
0.7396,0.2240,0.7590,0.6600,1,,0
0.7601,0.2680,0.7090,0.6980,1,,0
0.7806,0.3520,0.6570,0.6000,1,,0
0.8010,0.2320,0.6800,0.6590,1,,0
0.8174,0.4040,0.7380,0.6130,1,,0
0.8379,0.3720,0.7430,0.6140,1,,0
0.8584,0.1850,0.7210,0.6560,1,,0
0.8788,0.3350,0.7230,0.5940,1,,0
0.8994,0.2630,0.7100,0.6010,1,,0
0.9157,0.3710,0.7430,0.5950,1,,0
0.9362,0.3700,0.7470,0.6110,1,,0
0.9567,0.3960,0.7330,0.6290,1,,0
0.9772,0.3470,0.7290,0.6460,1,,0
0.9976,0.2120,0.7390,0.6620,1,,0
1.0181,0.3340,0.7480,0.6970,1,,0
1.0345,0.3110,0.7140,0.6900,1,,0
1.0549,0.1450,0.6940,0.6660,1,,0
1.0754,0.3060,0.7420,0.6450,1,,0
1.0959,0.4130,0.6820,0.7040,1,,0
1.1164,0.1620,0.6100,0.7710,1,,0
1.1368,0.2820,0.6760,0.6080,1,,0
1.1533,0.2530,0.7810,0.5500,1,,0
1.1737,0.1590,0.8340,0.6210,1,,0
1.1942,0.2610,0.8370,0.6480,1,,0
1.2147,0.1640,0.7630,0.6340,1,,0
1.2352,0.4600,0.8020,0.5680,1,,0
1.2557,0.1670,0.7870,0.6880,1,,0
1.2720,0.3900,0.7530,0.6150,1,,0
1.2925,0.5150,0.9010,0.5160,1,,0
1.3129,0.3250,0.8510,0.5860,1,,0
1.3334,0.1770,0.7920,0.5860,1,,0
1.3539,0.6530,0.7560,0.5130,1,,0
1.3703,0.3470,0.7720,0.7100,1,,0
1.3908,0.1090,0.6940,0.6580,1,,0
1.4113,0.3920,0.7780,0.4680,1,,0
1.4318,0.5500,0.6710,0.5230,1,,0
1.4522,0.2800,0.4720,0.8290,1,,0
1.4727,0.3960,0.4550,0.4230,1,,0
1.4892,0.7660,0.6700,0.3480,1,,0
1.5096,0.3980,0.6030,0.5030,1,,0
1.5301,0.2730,0.6420,0.4110,1,,0
1.5506,-0.3020,0.7950,0.4680,1,,0
1.5710,0.4780,0.8990,0.3440,1,,0
1.5915,0.5070,0.8590,0.6040,1,,0
1.6120,0.2180,0.9430,0.5630,1,,0
1.6284,0.0190,1.0390,0.5740,1,,0
1.6529,-0.1390,1.0870,0.6620,1,,0
