elapsed_s,x_g,y_g,z_g
0.0118,0.0440,0.8150,0.5950
0.0330,0.0290,0.8150,0.6180
0.0488,0.0390,0.7810,0.6450
0.0692,0.0080,0.7980,0.6390
0.0897,0.0750,0.8460,0.5840
0.1102,0.0070,0.8660,0.5920
0.1306,-0.0130,0.8310,0.5630
0.1511,0.0260,0.8100,0.6320
0.1716,-0.0150,0.7480,0.5980
0.1922,-0.0250,0.7410,0.6900
0.2126,-0.0800,0.8860,0.6950
0.2330,-0.1470,0.7100,0.8020
0.2535,-0.1850,0.6040,0.8600
0.2740,-0.2530,0.5340,0.9730
0.2948,0.0590,0.5170,0.8350
0.3149,-0.1650,0.6100,0.6830
0.3354,-0.1250,0.7430,0.6060
0.3559,-0.1200,0.7600,0.5270
0.3764,-0.2370,0.6690,0.5540
0.3969,-0.2450,0.6330,0.6040
0.4174,-0.1780,0.6190,0.7390
0.4378,-0.2230,0.6280,0.7960
0.4624,-0.1080,0.6430,0.8990
0.4829,-0.2390,0.6350,0.8170
0.5033,-0.2740,0.6000,0.7790
0.5238,-0.2750,0.7300,0.5690
0.5444,-0.1800,0.8540,0.6350
0.5648,-0.1540,0.7720,0.7250
0.5854,-0.1920,0.7130,0.7020
0.6057,-0.2720,0.7080,0.6990
0.6262,-0.2360,0.7100,0.6830
0.6467,-0.4090,0.7130,0.6400
0.6672,-0.2690,0.6790,0.7690
0.6877,-0.0130,0.7270,0.7060
0.7082,-0.2180,0.7730,0.7130
0.7327,-0.1750,0.7900,0.5870
0.7532,-0.0560,0.9250,0.5830
0.7737,-0.1090,0.8270,0.6870
0.7942,-0.0720,0.6390,0.7970
0.8146,0.1080,0.6880,0.6510
0.8311,0.0100,0.7480,0.5870
0.8556,-0.0210,0.8340,0.6770
0.8720,0.1040,0.8760,0.6340
0.8925,-0.0020,0.8360,0.5950
0.9170,-0.1440,0.7050,0.5600
0.9375,-0.0970,0.7540,0.5160
0.9580,-0.0380,0.6660,0.6240
0.9784,-0.0660,0.7520,0.7740
0.9989,0.0350,0.9760,0.7630
1.0194,-0.0450,1.0810,0.5370
1.0399,-0.2260,0.7710,0.6010
1.0604,-0.1350,0.5630,0.6290
1.0809,-0.2110,0.7330,0.6120
1.1014,-0.0700,0.8230,0.6150
1.1225,-0.0060,0.8270,0.6830
1.1425,0.1840,0.7690,0.6310
1.1628,-0.2870,0.7330,0.6440
1.1833,-0.0590,0.7330,0.6330
1.2037,-0.0400,0.8250,0.5950
1.2242,-0.0160,0.8760,0.5700
1.2447,-0.0380,0.8560,0.6180
1.2652,-0.0240,0.8270,0.5790
1.2857,-0.0810,0.7700,0.6130
1.3102,-0.0920,0.7920,0.6510
1.3267,0.0190,0.8590,0.5800
1.3472,-0.0970,0.8130,0.6680
1.3676,-0.0350,0.8190,0.5900
1.3923,-0.0860,0.7860,0.6530
1.4126,-0.0830,0.7730,0.6200
1.4332,-0.0630,0.7910,0.6640
1.4536,-0.0040,0.8680,0.5500
1.4742,-0.0540,0.8350,0.5860
1.4950,-0.1000,0.8180,0.5810
1.5152,-0.0680,0.8070,0.5880
1.5357,-0.1200,0.8560,0.5810
1.5560,-0.0420,0.8940,0.5600
1.5765,0.0060,0.8380,0.5670
1.5970,-0.2100,0.7470,0.6300
1.6175,-0.1640,0.7490,0.6370
1.6379,-0.1080,0.8330,0.5870
1.6584,-0.0590,0.8850,0.5440
1.6788,-0.0750,0.8860,0.5540
1.6994,-0.1070,0.8100,0.5860
1.7240,-0.1590,0.8010,0.5940
1.7444,-0.0820,0.8390,0.5610
1.7648,-0.1440,0.8270,0.6040
1.7854,-0.1040,0.8400,0.5780
1.8058,-0.0950,0.8950,0.5790
1.8263,-0.1200,0.8410,0.5630
1.8468,-0.1080,0.8010,0.5970
1.8673,-0.1160,0.8030,0.5720
1.8878,-0.1140,0.8160,0.5860
1.9082,0.0370,0.9180,0.5180
1.9287,-0.1270,0.8560,0.5500
1.9492,-0.0450,0.8500,0.5640
1.9699,-0.1060,0.8010,0.6130
1.9902,-0.1420,0.8070,0.6000
2.0106,-0.0110,0.8700,0.5780
2.0352,-0.0860,0.8350,0.5520
2.0556,-0.0290,0.8470,0.5470
2.0762,-0.0490,0.8360,0.5890
2.0966,-0.0630,0.8170,0.6070
2.1171,-0.0810,0.8540,0.5530
2.1376,0.0240,0.8920,0.5140
2.1581,-0.0040,0.8960,0.5150
2.1785,-0.0570,0.8880,0.5130
2.1990,-0.0470,0.8620,0.5280
2.2196,-0.0400,0.8030,0.5950
2.2400,0.0060,0.8220,0.5780
2.2605,-0.0270,0.8740,0.5430
2.2822,-0.0280,0.9050,0.5080
2.3015,-0.0130,0.8740,0.5490
2.3228,-0.0650,0.8130,0.5890
2.3424,-0.0280,0.8900,0.5490
2.3629,-0.0220,0.9040,0.4960
2.3833,-0.0550,0.8920,0.5010
2.4039,-0.0440,0.8530,0.5290
2.4284,-0.0580,0.8780,0.5290
2.4488,-0.0120,0.9000,0.5300
2.4653,0.0010,0.8780,0.5160
2.4858,-0.0310,0.8920,0.4980
2.5103,-0.0500,0.9180,0.4420
2.5308,-0.0540,0.9130,0.4770
2.5513,-0.0290,0.8730,0.5420
2.5718,-0.0490,0.8600,0.5260
2.5923,-0.0380,0.9460,0.4430
2.6127,-0.0480,0.8980,0.4670
2.6332,-0.0210,0.8710,0.5300
2.6536,-0.0210,0.8570,0.5570
2.6742,-0.0470,0.8610,0.5200
2.6951,-0.0340,0.8760,0.5260
2.7152,-0.0080,0.8340,0.5590
2.7356,-0.0110,0.9220,0.4840
2.7602,-0.0610,0.9450,0.4580
2.7806,-0.0180,0.8980,0.4600
2.8012,-0.0170,0.9090,0.4620
2.8216,-0.0930,0.9220,0.4510
2.8423,-0.1960,0.9470,0.5070
2.8626,-0.3600,0.8910,0.4660
2.8830,-0.2290,0.9440,0.4440
2.9035,-0.0640,0.9550,0.4400
2.9240,-0.0680,0.9130,0.3790
2.9445,0.0340,0.8110,0.6040
2.9650,-0.0530,0.7280,0.6650
2.9854,-0.0500,0.7810,0.6230
3.0059,-0.1040,0.8450,0.5700
3.0264,0.0370,1.1280,0.4180
3.0469,-0.0960,1.0070,0.3620
3.0674,-0.0950,0.9570,0.4200
3.0878,-0.2310,1.0150,0.4400
3.1083,-0.1850,0.9690,0.4230
3.1287,-0.1500,0.8960,0.4770
3.1492,0.0490,0.8220,0.6670
3.1743,0.0610,0.6440,0.6930
3.1903,0.0190,0.7560,0.5250
3.2107,-0.0620,1.0000,0.3390
3.2313,-0.0670,0.9780,0.3740
