elapsed_s,x_g,y_g,z_g,writing,word,newline
0.0156,0.2540,0.8190,0.5660,0,,0
0.0360,0.2640,0.8130,0.5540,0,,0
0.0524,0.2570,0.8020,0.5690,0,,0
0.0730,0.2590,0.7900,0.5690,0,,0
0.0935,0.2580,0.7740,0.5850,0,,0
0.1138,0.2460,0.7880,0.5740,0,,0
0.1343,0.2560,0.8150,0.5660,0,,0
0.1548,0.2520,0.8240,0.5530,0,,0
0.1712,0.2210,0.8150,0.5510,0,,0
0.1917,0.2480,0.7990,0.5720,0,,0
0.2122,0.2490,0.8090,0.5710,0,,0
0.2326,0.2540,0.8110,0.5650,0,,0
0.2531,0.2360,0.8060,0.5590,0,,0
0.2695,0.2260,0.8050,0.5690,0,,0
0.2900,0.2190,0.7950,0.6140,0,,0
0.3104,0.2370,0.8120,0.5530,0,,0
0.3309,0.2100,0.8050,0.5720,0,,0
0.3515,0.2270,0.8410,0.5680,0,,0
0.3718,0.1940,0.8220,0.6130,0,,0
0.3882,0.2260,0.7870,0.5570,0,,0
0.4087,0.2320,0.7930,0.5560,0,,0
0.4325,0.2620,0.7610,0.5540,0,,0
0.4497,0.0880,0.8450,0.4400,0,,0
0.4702,0.1500,0.9460,0.4600,0,,0
0.4924,0.1840,0.8960,0.5340,0,,0
0.5070,0.2310,0.8200,0.5850,0,,0
0.5275,0.2490,0.7420,0.6180,0,,0
0.5497,0.2500,0.7480,0.5930,0,,0
0.5685,0.2250,0.7810,0.5810,0,,0
0.5889,0.2330,0.7710,0.6060,0,,0
0.6094,0.2070,0.7840,0.5720,0,,0
0.6259,0.2240,0.8200,0.5560,0,,0
0.6464,0.1880,0.8140,0.5570,0,,0
0.6668,0.2200,0.8320,0.5450,0,,0
0.6878,0.1950,0.8250,0.5510,0,,0
0.7077,0.2290,0.8130,0.5660,0,,0
0.7241,0.2450,0.8220,0.5530,0,,0
0.7446,0.2280,0.8370,0.5460,0,,0
0.7651,0.2200,0.8380,0.5490,0,,0
0.7856,0.2290,0.7960,0.5710,0,,0
0.8060,0.2370,0.8040,0.5860,0,,0
0.8265,0.2390,0.8140,0.5670,0,,0
0.8429,0.2030,0.8030,0.5800,0,,0
0.8633,0.2220,0.8000,0.5680,0,,0
0.8839,0.2030,0.8090,0.5570,0,,0
0.9046,0.2290,0.8030,0.5820,0,,0
0.9248,0.2400,0.8180,0.5730,0,,0
0.9453,0.1960,0.8050,0.5540,0,,0
0.9617,0.2290,0.8050,0.5630,0,,0
0.9821,0.2410,0.8270,0.5530,0,,0
1.0026,0.2170,0.8270,0.5450,0,,0
1.0231,0.2280,0.8190,0.5490,0,,0
1.0435,0.2560,0.8330,0.5680,0,,0
1.0599,0.2050,0.8100,0.5750,0,,0
1.0805,0.2230,0.7930,0.5860,0,,0
1.1009,0.2160,0.8130,0.5520,0,,0
1.1214,0.1770,0.8210,0.5540,0,,0
1.1419,0.1960,0.8170,0.5380,0,,0
1.1623,0.1570,0.8200,0.5660,0,,0
1.1787,0.2690,0.7850,0.5500,0,,0
1.1993,0.1520,0.8060,0.5770,0,,0
1.2197,0.2210,0.7950,0.5530,0,,0
1.2402,0.3470,0.7870,0.5210,0,,0
1.2606,0.1990,0.7980,0.5210,0,,0
1.2811,0.3050,0.8100,0.5230,0,,0
1.2975,0.2910,0.8230,0.5100,0,,0
1.3180,0.2890,0.8070,0.5130,1,the,0
1.3385,0.2980,0.7990,0.5390,1,the,0
1.3590,0.3080,0.8190,0.5080,1,the,0
1.3794,0.2980,0.8170,0.5230,1,the,0
1.3999,0.2710,0.8330,0.5060,1,the,0
1.4163,0.2250,0.8360,0.5210,1,the,0
1.4367,0.2110,0.8450,0.5430,1,the,0
1.4590,0.2040,0.8370,0.5080,1,the,0
1.4777,0.2230,0.8390,0.4700,1,the,0
1.4983,0.1300,0.8450,0.5100,1,the,0
1.5146,0.2020,0.8690,0.5400,1,the,0
1.5351,0.1680,0.8100,0.5050,1,the,0
1.5555,0.2160,0.8650,0.5080,1,the,0
1.5760,0.1720,0.8360,0.5350,1,the,0
1.5965,0.2190,0.8310,0.5480,1,the,0
1.6169,0.2520,0.8300,0.5290,1,the,0
1.6334,0.2220,0.8220,0.5190,1,the,0
1.6538,0.2370,0.8710,0.4930,1,the,0
1.6744,0.2620,0.8530,0.4890,1,the,0
1.6948,0.2670,0.9390,0.4390,1,the,0
1.7152,0.0990,0.8900,0.4170,1,the,0
1.7357,0.1520,0.9090,0.4580,1,the,0
1.7521,0.1800,0.9150,0.4330,1,the,0
1.7726,-0.0260,0.8730,0.5200,1,the,0
1.7972,-0.0280,0.7880,0.3750,1,the,0
1.8136,0.1810,0.8660,0.4460,1,the,0
1.8341,-0.1400,0.8590,0.4460,1,the,0
1.8546,0.2010,0.9130,0.4290,1,the,0
1.8751,0.1920,0.9670,0.1010,1,the,0
1.8955,0.0730,0.8860,0.4890,1,the,0
1.9160,0.2460,0.5910,0.6740,1,the,0
1.9364,0.2750,0.6100,0.7170,1,the,0
1.9569,-0.3280,0.9590,0.5330,1,the,0
1.9733,0.0740,0.8310,0.4610,1,the,0
1.9938,0.1040,0.9810,0.4370,1,the,0
2.0143,0.1470,1.0440,0.6230,1,the,0
2.0350,-0.0340,1.1250,0.4830,1,the,0
2.0553,0.3000,0.8340,0.2330,1,the,0
2.0757,0.1830,0.9280,0.1430,1,the,0
2.0961,0.1880,0.9590,0.3660,1,the,0
2.1126,0.1930,0.9420,0.4250,1,the,0
2.1330,0.2200,0.9610,0.4250,1,the,0
2.1536,0.2280,0.6970,0.5990,1,the,0
2.1740,0.3220,0.6950,0.6320,1,the,0
2.1944,0.3510,1.0140,0.5110,1,the,0
2.2149,0.1500,0.9250,0.3820,1,the,0
2.2314,0.0340,0.9380,0.4830,1,the,0
2.2518,0.2880,0.8450,0.1550,1,the,0
2.2723,0.1260,0.8910,0.3860,1,the,0
2.2928,0.2170,0.9070,0.2760,1,the,0
2.3151,0.2320,0.9390,0.4240,1,the,0
2.3337,0.3210,1.1100,0.1780,1,the,0
2.3501,0.0320,0.8380,0.4790,1,the,0
2.3706,0.2290,0.7200,0.5420,1,the,0
2.3910,0.2860,0.7820,0.4790,1,the,0
2.4115,0.2410,0.8710,0.4420,1,the,0
2.4320,0.0720,0.8660,0.5360,1,the,0
2.4524,0.0500,0.9850,0.7490,1,the,0
2.4689,0.5680,0.8960,0.5150,1,the,0
2.4925,0.4250,0.8920,0.4440,1,the,0
2.5098,0.3200,0.9450,0.3280,1,the,0
2.5303,0.3900,1.0460,0.3540,1,the,0
2.5508,0.3050,0.7250,0.6000,1,the,0
2.5672,0.3160,0.6930,0.6760,1,the,0
2.5876,0.1620,1.0930,0.4510,1,the,0
2.6081,0.1100,0.9060,0.4300,1,the,0
2.6287,-0.0180,0.9150,0.2720,1,the,0
2.6491,0.0910,0.8620,0.1940,1,the,0
2.6695,0.1900,0.9290,0.3650,1,the,0
2.6900,0.3950,0.8130,0.4620,1,the,0
2.7105,0.3890,0.8300,0.3690,1,the,0
2.7270,0.2280,0.8630,0.4380,1,the,0
2.7474,0.2570,0.9120,0.3320,1,the,0
2.7678,0.2040,0.9370,0.0630,1,the,0
2.7883,0.1940,0.8960,0.3530,1,the,0
2.8088,0.0530,0.8980,0.5670,1,the,0
2.8253,0.2770,0.8730,0.4200,1,the,0
2.8459,0.2330,0.9200,0.4020,1,the,0
2.8662,0.1740,0.9220,0.4780,1,the,0
2.8866,0.2060,0.9070,0.3600,1,the,0
2.9071,0.2320,0.9320,0.3760,1,the,0
2.9276,0.2480,1.0110,0.3500,1,the,0
2.9439,0.3760,1.0160,0.2880,1,the,0
2.9645,0.2430,0.6930,0.5500,1,the,0
2.9850,0.3900,0.6490,0.6080,1,the,0
3.0055,0.3440,0.7950,0.0960,1,the,0
3.0259,-0.0200,0.9430,0.2970,1,the,0
3.0464,0.0950,1.0770,0.3850,1,the,0
3.0668,0.3450,0.9370,0.3640,1,the,0
3.0832,0.4130,0.8920,0.3250,1,the,0
3.1037,0.3500,0.9620,0.3710,1,the,0
3.1242,0.2920,0.7710,0.4790,1,the,0
3.1446,0.3540,0.6190,0.5940,1,the,0
3.1651,0.3360,1.7120,0.3510,1,the,0
3.1856,0.0280,0.9340,0.3130,1,the,0
3.2020,0.0770,0.9700,0.4120,1,the,0
3.2225,0.1780,0.9100,0.3220,1,the,0
3.2429,0.3500,0.9540,0.3420,1,the,0
3.2634,0.3550,0.9370,0.2720,1,the,0
3.2839,0.3140,1.0770,0.0940,1,the,0
3.3044,0.0810,1.2840,0.1400,1,the,0
3.3249,-0.0270,1.2910,0.1840,1,the,0
3.3412,0.2130,0.7620,0.5240,1,the,0
3.3617,0.6630,0.2150,0.7010,1,the,0
