elapsed_s,x_g,y_g,z_g,writing,word,newline
0.0097,0.2960,0.8030,0.5300,0,,0
0.0302,0.3010,0.7970,0.5350,0,,0
0.0508,0.2890,0.8160,0.5250,0,,0
0.0670,0.2770,0.8180,0.5430,0,,0
0.0875,0.3000,0.8020,0.5380,0,,0
0.1080,0.3000,0.7920,0.5480,0,,0
0.1285,0.2980,0.7810,0.5460,0,,0
0.1490,0.2970,0.8130,0.5340,0,,0
0.1694,0.2880,0.8150,0.5390,0,,0
0.1858,0.2840,0.8120,0.5310,0,,0
0.2063,0.2830,0.8040,0.5310,0,,0
0.2268,0.2990,0.8020,0.5420,0,,0
0.2473,0.2940,0.8030,0.5380,0,,0
0.2677,0.2940,0.7950,0.5430,0,,0
0.2841,0.3000,0.8030,0.5330,0,,0
0.3046,0.2840,0.8130,0.5380,0,,0
0.3251,0.2710,0.8070,0.5440,0,,0
0.3455,0.2770,0.8070,0.5300,0,,0
0.3661,0.2960,0.8010,0.5370,0,,0
0.3865,0.2990,0.7880,0.5590,0,,0
0.4029,0.3670,0.7760,0.5210,0,,0
0.4235,0.2390,0.8140,0.5400,0,,0
0.4438,0.2720,0.8210,0.5380,0,,0
0.4644,0.2650,0.8190,0.5270,0,,0
0.4853,0.2320,0.8230,0.5450,0,,0
0.5052,0.2450,0.8140,0.5320,0,,0
0.5217,0.2770,0.7990,0.5200,0,,0
0.5423,0.2890,0.7640,0.5460,0,,0
0.5626,0.2700,0.8380,0.4980,0,,0
0.5831,0.3070,0.8260,0.5410,0,,0
0.6036,0.3000,0.8070,0.5180,0,,0
0.6200,0.3350,0.8100,0.5130,0,,0
0.6404,0.3250,0.8250,0.5070,0,,0
0.6609,0.2910,0.8130,0.5050,0,,0
0.6813,0.3100,0.8230,0.5050,0,,0
0.7019,0.3120,0.8210,0.4980,0,,0
0.7223,0.3350,0.8260,0.4810,0,,0
0.7387,0.3340,0.8130,0.5110,0,,0
0.7592,0.3580,0.8220,0.5150,0,,0
0.7797,0.2860,0.8000,0.5430,0,,0
0.8001,0.2330,0.7790,0.5420,0,,0
0.8207,0.2520,0.7930,0.5520,0,,0
0.8410,0.2330,0.7980,0.5810,0,,0
0.8575,0.2500,0.8320,0.5830,0,,0
0.8790,0.0540,0.7710,0.6140,0,,0
0.8984,0.3710,0.8230,0.5640,0,,0
0.9190,0.2210,0.7610,0.5990,0,,0
0.9394,0.2520,0.7940,0.5750,0,,0
0.9599,0.2640,0.7890,0.5490,0,,0
0.9791,0.2270,0.7810,0.5890,0,,0
0.9968,0.2500,0.7900,0.5760,0,,0
1.0173,0.2180,0.8000,0.5900,0,,0
1.0377,0.2310,0.7810,0.5730,0,,0
1.0582,0.2770,0.7720,0.5220,0,,0
1.0746,0.2620,0.7720,0.5480,0,,0
1.0951,0.2850,0.7870,0.5150,0,,0
1.1155,0.3320,0.8040,0.5660,0,,0
1.1360,0.2760,0.8400,0.4720,0,,0
1.1565,0.2570,0.8610,0.5010,0,,0
1.1770,0.2970,0.8520,0.4620,0,,0
1.1934,0.3120,0.8160,0.4890,0,,0
1.2138,0.3260,0.8200,0.4760,0,,0
1.2344,0.3380,0.8210,0.4870,0,,0
1.2548,0.3650,0.8320,0.5140,0,,0
1.2753,0.3140,0.8180,0.4500,0,,0
1.2958,0.3720,0.7950,0.4930,0,,0
1.3122,0.2950,0.7870,0.4960,0,,0
1.3326,0.3350,0.8020,0.4980,0,,0
1.3531,0.3540,0.7950,0.5070,0,,0
1.3736,0.4030,0.7730,0.4690,1,quick,0
1.3941,0.3410,0.8230,0.4860,1,quick,0
1.4104,0.2840,0.9070,0.4390,1,quick,0
1.4309,0.2880,0.8960,0.4520,1,quick,0
1.4515,0.2520,0.8360,0.4550,1,quick,0
1.4718,0.2730,0.8760,0.4680,1,quick,0
1.4923,0.2410,0.8640,0.4780,1,quick,0
1.5128,0.3260,0.8310,0.4690,1,quick,0
1.5292,0.3690,0.8130,0.4380,1,quick,0
1.5497,0.3090,0.8720,0.4450,1,quick,0
1.5702,0.2470,0.8630,0.4300,1,quick,0
1.5906,0.2760,0.8790,0.4430,1,quick,0
1.6111,0.2490,0.8880,0.4620,1,quick,0
1.6320,0.2440,0.8700,0.4710,1,quick,0
1.6480,0.2650,0.8540,0.4150,1,quick,0
1.6718,0.2760,0.8910,0.4570,1,quick,0
1.6890,0.2910,0.8780,0.4410,1,quick,0
1.7094,0.2850,0.8770,0.4320,1,quick,0
1.7299,0.2710,0.8550,0.4740,1,quick,0
1.7504,0.2290,0.9030,0.3880,1,quick,0
1.7668,0.1460,0.8930,0.3970,1,quick,0
1.7873,0.3060,0.8850,0.3730,1,quick,0
1.8077,0.3380,0.9150,0.3080,1,quick,0
1.8282,0.3060,0.8870,0.3320,1,quick,0
1.8487,0.3120,0.8920,0.2920,1,quick,0
1.8650,0.2180,0.8910,0.5350,1,quick,0
1.8856,0.1030,1.0390,0.5020,1,quick,0
1.9061,0.5480,1.0370,0.7070,1,quick,0
1.9265,0.2180,0.8060,0.4940,1,quick,0
1.9470,0.1350,0.8630,0.3630,1,quick,0
1.9675,0.3260,0.9090,0.4120,1,quick,0
1.9859,0.2850,0.8910,0.2960,1,quick,0
2.0044,0.3890,0.9140,0.2500,1,quick,0
2.0248,0.4720,0.8630,0.3080,1,quick,0
2.0453,0.2210,0.9320,0.2610,1,quick,0
2.0658,0.2100,0.9320,0.3980,1,quick,0
2.0862,0.1470,0.8670,0.4790,1,quick,0
2.1026,0.3190,0.8370,0.3990,1,quick,0
2.1231,0.3100,0.8100,0.4640,1,quick,0
2.1436,0.3170,0.7480,0.4380,1,quick,0
2.1640,0.3620,0.9190,0.5410,1,quick,0
2.1846,0.2050,0.8560,0.4060,1,quick,0
2.2050,0.2500,0.8920,0.3870,1,quick,0
2.2214,0.2870,0.9010,0.4150,1,quick,0
2.2419,0.2610,0.9330,0.6770,1,quick,0
2.2624,0.2030,0.9320,0.5410,1,quick,0
2.2828,0.2530,0.9140,0.5250,1,quick,0
2.3033,0.2960,0.9410,0.3470,1,quick,0
2.3197,0.2890,0.9380,0.3720,1,quick,0
2.3401,0.2390,0.9250,0.3370,1,quick,0
2.3606,0.1700,0.9290,0.3850,1,quick,0
2.3811,0.2740,0.8450,0.4320,1,quick,0
2.4016,0.4560,0.7090,0.4100,1,quick,0
2.4220,0.5100,0.7210,0.4240,1,quick,0
2.4385,0.4000,0.9230,0.4910,1,quick,0
2.4590,0.0770,0.9350,0.3900,1,quick,0
2.4794,0.1430,0.9350,0.4920,1,quick,0
2.4999,0.2250,0.9190,0.3620,1,quick,0
2.5204,0.2590,0.9440,0.2490,1,quick,0
2.5408,0.2160,0.8960,0.3360,1,quick,0
2.5572,0.3160,0.9080,0.3070,1,quick,0
2.5777,0.2760,0.9310,0.1890,1,quick,0
2.5982,0.2410,0.9130,0.3540,1,quick,0
