elapsed_s,x_g,y_g,z_g,writing,word,newline
0.002,0.364,0.745,0.564,0,,0
0.0225,0.381,0.745,0.563,0,,0
0.0429,0.367,0.753,0.559,0,,0
0.0593,0.373,0.746,0.571,0,,0
0.0798,0.383,0.731,0.571,0,,0
0.1003,0.372,0.729,0.568,0,,0
0.1207,0.375,0.743,0.564,0,,0
0.1412,0.371,0.751,0.565,0,,0
0.1617,0.364,0.745,0.576,0,,0
0.1782,0.382,0.734,0.568,0,,0
0.1986,0.354,0.734,0.583,0,,0
0.2191,0.357,0.732,0.565,0,,0
0.2395,0.367,0.745,0.584,0,,0
0.26,0.376,0.733,0.568,0,,0
0.2805,0.375,0.724,0.579,0,,0
0.2974,0.369,0.733,0.579,0,,0
0.3173,0.36,0.741,0.573,0,,0
0.3378,0.35,0.747,0.578,0,,0
0.3583,0.358,0.74,0.57,0,,0
0.3788,0.364,0.735,0.583,0,,0
0.3992,0.352,0.734,0.577,0,,0
0.4156,0.367,0.736,0.578,0,,0
0.4361,0.366,0.746,0.581,0,,0
0.4566,0.367,0.729,0.578,0,,0
0.477,0.366,0.735,0.578,0,,0
0.4975,0.359,0.732,0.577,0,,0
0.5139,0.368,0.732,0.576,0,,0
0.5344,0.368,0.741,0.576,0,,0
0.5549,0.362,0.739,0.568,0,,0
0.5754,0.356,0.748,0.575,0,,0
0.5959,0.362,0.742,0.578,0,,0
0.6163,0.375,0.726,0.578,0,,0
0.633,0.366,0.733,0.574,0,,0
0.6532,0.364,0.738,0.572,0,,0
0.6737,0.352,0.746,0.575,0,,0
0.6942,0.369,0.742,0.587,0,,0
0.7146,0.364,0.73,0.571,0,,0
0.7351,0.362,0.742,0.584,0,,0
0.7515,0.343,0.738,0.577,0,,0
0.7719,0.36,0.738,0.58,0,,0
0.7924,0.373,0.732,0.586,0,,0
0.813,0.355,0.722,0.576,0,,0
0.8334,0.364,0.733,0.582,0,,0
0.8498,0.359,0.749,0.579,0,,0
0.8703,0.358,0.748,0.574,0,,0
0.8908,0.352,0.738,0.588,0,,0
0.9113,0.357,0.731,0.574,0,,0
0.9317,0.368,0.735,0.586,0,,0
0.9522,0.352,0.731,0.59,0,,0
0.9685,0.377,0.731,0.578,0,,0
0.9891,0.341,0.727,0.586,0,,0
1.0095,0.371,0.735,0.584,0,,0
1.0301,0.348,0.743,0.577,0,,0
1.0505,0.341,0.737,0.589,0,,0
1.071,0.372,0.752,0.563,0,,0
1.0874,0.323,1.005,0.479,0,,0
1.1078,0.225,0.731,0.639,0,,0
1.1283,0.601,0.349,0.607,0,,0
1.1488,0.346,0.755,0.567,0,,0
1.1692,0.338,0.724,0.65,0,,0
1.1898,0.314,0.649,0.724,0,,0
1.2062,0.271,0.659,0.686,0,,0
1.2266,0.304,0.61,0.711,0,,0
1.2471,0.357,0.602,0.755,0,,0
1.2675,0.334,0.591,0.7,0,,0
1.288,0.323,0.629,0.655,0,,0
1.3044,0.304,0.497,1.143,0,,0
1.329,-0.024,0.398,0.944,0,,0
1.3494,-0.036,0.433,0.907,0,,0
1.3659,0.136,0.433,0.958,0,,0
1.3905,-0.03,0.45,0.771,0,,0
1.4068,0.079,0.551,0.79,0,,0
1.4273,0.295,0.588,0.771,0,,0
1.4478,0.526,0.681,0.661,0,,0
1.4683,0.372,0.522,0.839,0,,0
1.4887,0.339,0.643,0.727,0,,0
1.5057,0.394,0.687,0.695,0,,0
1.5256,0.378,0.599,0.616,0,,0
1.5461,0.67,0.568,0.613,0,,0
1.5665,0.251,0.615,0.584,0,,0
1.5871,0.473,0.579,0.634,0,,0
1.6075,0.606,0.751,0.514,0,,0
1.6239,0.45,0.931,0.446,0,,0
1.6444,0.354,0.902,0.376,0,,0
1.6649,0.433,0.869,0.36,0,,0
1.6853,0.434,0.934,0.314,0,,0
1.7058,0.54,0.842,0.401,0,,0
1.7262,0.534,0.747,0.44,0,,0
1.7427,0.423,0.696,0.541,0,,0
1.7632,0.436,0.747,0.448,0,,0
1.7836,0.53,0.604,0.546,0,,0
1.8041,0.586,0.55,0.433,0,,0
1.8246,0.534,0.536,0.567,0,,0
1.8451,0.517,0.499,0.665,0,,0
1.8614,0.601,0.552,0.663,0,,0
1.8819,0.511,0.611,0.782,0,,0
1.9026,0.47,0.651,0.674,0,,0
1.9229,0.448,0.693,0.652,1,fox,0
1.9434,0.365,0.704,0.718,1,fox,0
1.9598,0.234,0.672,0.707,1,fox,0
1.9802,0.255,0.789,0.997,1,fox,0
2.0007,0.388,0.782,0.526,1,fox,0
2.0212,0.529,0.748,0.286,1,fox,0
2.0417,0.6,0.6,0.469,1,fox,0
2.0622,0.61,0.567,0.377,1,fox,0
2.0785,0.514,0.639,0.368,1,fox,0
2.099,0.448,0.786,0.439,1,fox,0
2.1194,0.168,0.812,0.381,1,fox,0
2.14,0.446,0.785,0.316,1,fox,0
2.1604,0.627,0.764,0.354,1,fox,0
2.1809,0.552,0.902,0.401,1,fox,0
2.1973,0.387,1.117,0.423,1,fox,0
2.2177,0.363,0.823,0.338,1,fox,0
2.2422,0.514,0.813,0.31,1,fox,0
2.2587,0.528,0.883,0.295,1,fox,0
2.2792,0.502,0.854,0.266,1,fox,0
2.2956,0.402,0.885,0.367,1,fox,0
2.3161,0.354,0.91,0.384,1,fox,0
2.3403,0.394,0.862,0.322,1,fox,0
2.357,0.463,0.835,0.287,1,fox,0
2.3775,0.436,0.885,0.373,1,fox,0
2.4004,0.43,0.846,0.337,1,fox,0
2.4144,0.467,0.819,0.333,1,fox,0
2.4349,0.479,0.838,0.311,1,fox,0
2.4553,0.44,0.836,0.355,1,fox,0
2.4758,0.435,0.873,0.32,1,fox,0
2.4963,0.434,0.853,0.318,1,fox,0
2.5168,0.455,0.841,0.32,1,fox,0
2.5332,0.473,0.868,0.312,1,fox,0
2.5537,0.398,0.883,0.349,1,fox,0
2.5741,0.33,0.86,0.315,1,fox,0
2.5947,0.437,0.854,0.316,1,fox,0
2.6151,0.238,0.843,0.355,1,fox,0
2.6356,0.429,0.896,0.334,1,fox,0
2.6519,0.408,0.925,0.308,1,fox,0
2.6726,0.518,0.852,0.467,1,fox,0
2.6928,0.438,0.866,0.33,1,fox,0
2.7133,0.416,0.838,0.35,1,fox,0
2.7339,0.396,0.941,0.374,1,fox,0
2.7502,0.403,0.892,0.325,1,fox,0
2.7707,0.36,0.87,0.402,1,fox,0
2.7912,0.059,0.914,0.301,1,fox,0
2.8116,0.38,0.818,0.358,1,fox,0
2.8323,0.415,0.905,0.326,1,fox,0
2.8526,0.383,0.929,0.224,1,fox,0
2.869,0.408,0.891,0.3,1,fox,0
2.8895,0.364,0.813,0.264,1,fox,0
2.9099,0.451,0.851,0.392,1,fox,0
2.9304,0.486,0.693,0.334,1,fox,0
2.9509,0.488,0.731,0.041,1,fox,0
2.9714,0.25,0.959,0.31,1,fox,0
2.9878,0.278,0.951,0.378,1,fox,0
3.0082,0.397,0.917,0.356,1,fox,0
3.0287,0.412,0.959,0.26,1,fox,0
3.0492,0.356,0.92,0.345,1,fox,0
3.0699,0.329,0.886,0.337,1,fox,0
3.0902,0.34,0.875,0.328,1,fox,0
3.1065,0.334,0.871,0.422,1,fox,0
3.127,0.457,0.752,0.315,1,fox,0
3.1475,0.518,0.757,0.327,1,fox,0
3.168,0.493,1.099,0.355,1,fox,0
3.1885,0.232,0.94,0.378,1,fox,0
3.2049,0.299,0.981,0.274,1,fox,0
3.2253,0.399,0.933,0.187,1,fox,0
3.2458,0.429,0.906,0.212,1,fox,0
3.2662,0.282,0.819,0.11,1,fox,0
3.2868,0.539,0.886,0.214,1,fox,0
3.3072,0.351,0.839,0.303,1,fox,0
3.3237,0.335,0.876,0.399,1,fox,0
3.3442,0.309,0.915,0.396,1,fox,0
3.3645,0.413,0.957,0.383,1,fox,0
3.3851,0.327,0.992,0.438,1,fox,0
3.4055,0.329,1.002,0.276,1,fox,0
3.426,0.288,0.968,0.223,1,fox,0
3.4425,0.544,0.743,0.199,1,fox,0
3.4629,0.606,0.746,0.29,1,fox,0
3.4834,0.507,0.863,0.173,1,fox,0
3.5039,0.346,0.887,0.242,1,fox,0
3.5243,0.332,0.988,0.296,1,fox,0
3.5407,0.316,0.978,0.219,1,fox,0
3.5612,0.346,0.94,0.292,1,fox,0
3.5817,0.464,0.931,0.216,1,fox,0
3.6022,0.384,0.946,0.247,1,fox,0
3.6227,0.429,0.939,0.188,1,fox,0
3.6431,0.372,0.911,0.228,1,fox,0
3.6595,0.413,0.856,0.166,1,fox,0
3.68,0.433,0.825,0.229,1,fox,0
3.7005,0.503,0.803,0.293,1,fox,0
3.721,0.54,0.714,0.296,1,fox,0
3.7414,0.448,1.356,0.344,1,fox,0
3.7619,0.188,0.894,0.171,1,fox,0
3.7786,0.331,0.968,0.357,1,fox,0
3.7988,0.416,0.985,0.467,1,fox,0
