elapsed_s,x_g,y_g,z_g,writing,word,newline
0.0044,0.1720,0.8130,0.5860,0,,0
0.0249,0.1580,0.8090,0.5980,0,,0
0.0454,0.1520,0.8170,0.5850,0,,0
0.0658,0.1570,0.8090,0.6030,0,,0
0.0823,0.1820,0.8020,0.6000,0,,0
0.1066,0.1710,0.7990,0.5830,0,,0
0.1232,0.1770,0.8090,0.5850,0,,0
0.1437,0.1700,0.8110,0.5840,0,,0
0.1642,0.1630,0.8140,0.5880,0,,0
0.1806,0.1700,0.8050,0.5940,0,,0
0.2051,0.1490,0.7990,0.5870,0,,0
0.2215,0.1590,0.7950,0.6120,0,,0
0.2419,0.1630,0.8010,0.5940,0,,0
0.2642,0.1670,0.8040,0.5910,0,,0
0.2831,0.1670,0.8010,0.6070,0,,0
0.2993,0.1670,0.8010,0.5850,0,,0
0.3198,0.1680,0.8090,0.5990,0,,0
0.3403,0.1640,0.8150,0.5920,0,,0
0.3608,0.1470,0.8130,0.5890,0,,0
0.3812,0.1550,0.8090,0.5940,0,,0
0.4018,0.1480,0.7910,0.5950,0,,0
0.4182,0.1670,0.8000,0.6030,0,,0
0.4386,0.1560,0.8130,0.6110,0,,0
0.4595,0.1640,0.8030,0.5990,0,,0
0.4796,0.1430,0.7970,0.5990,0,,0
0.5000,0.1630,0.8020,0.5940,0,,0
0.5205,0.1600,0.7970,0.6040,0,,0
0.5369,0.1520,0.8160,0.5910,0,,0
0.5573,0.1520,0.8130,0.5910,0,,0
0.5779,0.1540,0.8070,0.6020,0,,0
0.5983,0.1550,0.8120,0.5900,0,,0
0.6189,0.1660,0.7960,0.6020,0,,0
0.6352,0.1680,0.8050,0.5930,0,,0
0.6557,0.1570,0.8020,0.6010,0,,0
0.6764,0.1600,0.7930,0.5970,0,,0
0.6966,0.1550,0.8160,0.6000,0,,0
0.7172,0.1520,0.7960,0.6100,0,,0
0.7375,0.1570,0.8000,0.5910,0,,0
0.7540,0.1530,0.8040,0.6010,0,,0
0.7745,0.1490,0.8040,0.6090,0,,0
0.7949,0.1410,0.8040,0.5920,0,,0
0.8154,0.1600,0.8100,0.6010,0,,0
0.8359,0.1450,0.8040,0.5930,0,,0
0.8563,0.1550,0.7980,0.6020,0,,0
0.8727,0.1690,0.7990,0.6150,0,,0
0.8932,0.1520,0.7940,0.6070,0,,0
0.9137,0.1630,0.8020,0.6060,0,,0
0.9342,0.1470,0.8030,0.5850,0,,0
0.9546,0.1800,0.8130,0.5960,0,,0
0.9752,0.1600,0.8020,0.6260,0,,0
0.9916,0.1410,0.7930,0.5970,0,,0
1.0120,0.1530,0.8000,0.6070,0,,0
1.0325,0.1430,0.8000,0.6000,0,,0
1.0531,0.1540,0.8020,0.6080,0,,0
1.0734,0.1430,0.7930,0.6050,0,,0
1.0898,0.1540,0.7950,0.6180,0,,0
1.1103,0.1540,0.7990,0.6130,0,,0
1.1308,0.1440,0.8080,0.6230,0,,0
1.1513,0.1250,0.8020,0.5950,0,,0
1.1717,0.1500,0.8100,0.6000,0,,0
1.1923,0.1430,0.8040,0.6040,0,,0
1.2086,0.1430,0.7950,0.6030,0,,0
1.2291,0.1460,0.8040,0.6020,0,,0
1.2496,0.1500,0.8070,0.5870,0,,0
1.2702,0.1640,0.7820,0.6020,0,,0
1.2905,0.1540,0.7910,0.6040,0,,0
1.3110,0.1820,0.7970,0.6040,0,,0
