elapsed_s,x_g,y_g,z_g,writing,word,newline
0.0013,-0.2410,0.5150,0.8140,0,,0
0.0218,-0.2320,0.4830,0.8060,0,,0
0.0423,-0.2420,0.5180,0.8380,0,,0
0.0627,-0.2340,0.5420,0.8170,0,,0
0.0831,-0.2200,0.5240,0.8520,0,,0
0.1037,-0.2300,0.5580,0.8960,0,,0
0.1242,-0.2080,0.5470,0.8500,0,,0
0.1447,-0.2440,0.5420,0.8230,0,,0
0.1651,-0.2200,0.5390,0.8180,0,,0
0.1856,-0.2350,0.5330,0.8370,0,,0
0.2060,-0.2140,0.5620,0.8400,0,,0
0.2306,-0.2290,0.5390,0.8140,0,,0
0.2511,-0.2290,0.5320,0.8050,0,,0
0.2717,-0.2060,0.5310,0.8260,0,,0
0.2921,-0.2080,0.5410,0.8150,0,,0
0.3125,-0.2450,0.5780,0.8190,0,,0
0.3330,-0.2360,0.5880,0.8040,0,,0
0.3536,-0.2250,0.5950,0.8150,0,,0
0.3768,-0.2240,0.6410,0.8220,0,,0
0.3945,-0.2140,0.6030,0.8280,0,,0
0.4150,-0.2180,0.5820,0.7990,0,,0
0.4354,-0.2170,0.5870,0.7780,0,,0
0.4559,-0.1910,0.5460,0.7770,0,,0
0.4806,-0.1840,0.5930,0.8100,0,,0
0.5009,-0.1770,0.5320,1.1840,0,,0
0.5215,-0.2390,0.3430,0.7780,0,,0
0.5437,-0.2300,0.4640,0.7620,0,,0
0.5624,-0.2310,0.4750,0.7620,0,,0
0.5829,-0.2830,0.4250,0.9240,0,,0
0.6034,-0.4650,0.7170,0.7600,0,,0
0.6238,-0.2110,0.6170,0.7030,0,,0
0.6444,-0.2010,0.6640,0.8910,0,,0
0.6648,-0.2660,0.4270,0.7860,0,,0
0.6853,-0.2740,0.3700,0.8830,0,,0
0.7058,-0.2500,0.4600,0.8630,0,,0
0.7263,-0.1970,0.5110,0.8670,0,,0
0.7509,-0.2600,0.4680,0.8330,0,,0
0.7713,-0.2210,0.4810,0.7910,0,,0
0.7918,-0.2240,0.4910,0.7870,0,,0
0.8123,-0.2050,0.4860,0.8130,0,,0
0.8327,-0.1860,0.4280,0.8590,0,,0
0.8532,-0.2460,0.3160,0.8350,0,,0
0.8737,-0.1930,0.4840,0.8870,0,,0
0.8942,-0.0690,0.4070,1.3120,0,,0
0.9146,0.0360,0.2920,1.0790,0,,0
0.9351,-0.0770,0.3960,0.6740,0,,0
0.9556,-0.0320,0.2000,0.8530,0,,0
0.9761,0.0410,0.2960,0.9380,0,,0
0.9965,0.1670,0.5110,1.0110,0,,0
1.0170,-0.0750,0.4740,0.7990,0,,0
1.0375,0.2310,0.4860,0.4110,0,,0
1.0539,0.3680,0.3190,0.7750,0,,0
1.0785,-0.6300,0.1000,1.7840,0,,0
1.0989,-2.0000,0.2770,0.6860,0,,0
1.1153,0.0230,0.3960,0.8190,0,,0
1.1399,-0.1000,0.4830,0.9850,0,,0
1.1604,-0.1870,0.4640,0.7740,0,,0
1.1808,-0.0840,0.5100,0.8660,0,,0
1.2013,-0.3120,0.3950,0.8760,0,,0
1.2218,-0.2710,0.4120,1.0170,0,,0
1.2423,-0.3140,0.3040,0.9470,0,,0
1.2628,0.0020,0.5050,0.8170,0,,0
1.2833,-0.1900,0.5770,0.8880,0,,0
1.3037,0.1420,0.2180,0.7490,0,,0
1.3202,0.4690,0.4730,0.8880,0,,0
1.3406,0.2960,0.5630,0.8130,0,,0
1.3611,0.1740,0.5590,0.7340,0,,0
1.3815,0.3690,0.5170,0.8090,0,,0
1.4020,0.3190,0.4600,0.7850,0,,0
